,COD,REFRESH,LAT,LON,CODIGOLINHA,ADAPT,TIPO_VEIC,TABELA,SITUACAO,SITUACAO2,SENT,TCOUNT
HN403,HN403,17:17,-25.478083,-49.289403,673,1,7,1,ATRASADO,REALIZANDO ROTA,IDA,1
BI870,BI870,17:16,-25.374681,-49.222948,231,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HB614,HB614,17:17,-25.424413,-49.352226,040,1,4,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
HB612,HB612,17:13,-25.478041,-49.33158,040,1,4,11,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JB614,JB614,17:17,-25.513285,-49.295113,040,1,4,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GB610,GB610,17:17,-25.511698,-49.332418,040,1,4,10,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JB607,JB607,17:17,-25.496995,-49.325901,040,1,4,3,NO HORÁRIO,REALIZANDO ROTA,IDA,1
MB499,MB499,17:17,-25.46328,-49.345618,040,0,3,8,NO HORÁRIO,TIPO INCOMPATIVEL,IDA,1
JB611,JB611,17:17,-25.449175,-49.365246,REC,1,4,,,,,1
MB698,MB698,17:16,-25.400611,-49.3306,040,1,4,7,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HB613,HB613,17:16,-25.440658,-49.345671,040,1,4,4,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EI016,EI016,17:17,-25.494296,-49.28667,525,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EI019,EI019,17:17,-25.485201,-49.252271,525,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI036,GI036,17:10,-25.563351,-49.253383,548,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI040,GI040,17:12,-25.541678,-49.271716,548,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
GI016,GI016,17:14,-25.492678,-49.29127,624,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI009,GI009,17:10,-25.549086,-49.291105,REC,1,1,,,,,1
BA033,BA033,17:13,-25.382723,-49.312471,924,1,1,3,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BA026,BA026,17:17,-25.376376,-49.224711,924,1,1,2,ATRASADO,REALIZANDO ROTA,VOLTA,1
GI858,GI858,17:17,-25.434585,-49.240248,387,1,7,2,ATRASADO,REALIZANDO ROTA,VOLTA,1
GI857,GI857,17:17,-25.55019,-49.29197,387,1,7,1,ATRASADO,REALIZANDO ROTA,VOLTA,1
JI865,JI865,17:09,-25.463185,-49.367575,820,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BI882,BI882,17:17,-25.424443,-49.27408,169,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BI859,BI859,17:10,-25.422953,-49.270941,169,1,7,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HC305,HC305,17:17,-25.438601,-49.278025,801,1,10,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BL343,BL343,17:17,-25.415535,-49.267946,206,0,3,3,ADIANTADO,REALIZANDO ROTA,IDA,1
BL350,BL350,17:17,-25.532811,-49.211583,206,0,3,6,NO HORÁRIO,REALIZANDO ROTA,IDA,1
BL360,BL360,17:15,-25.432003,-49.264121,206,0,3,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EL325,EL325,17:17,-25.39083,-49.258151,206,1,3,5,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
BL361,BL361,17:17,-25.490425,-49.242881,206,0,3,4,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HL338,HL338,17:17,-25.436155,-49.274725,707,1,3,3,ADIANTADO,REALIZANDO ROTA,IDA,1
HL332,HL332,17:17,-25.536523,-49.30134,707,1,3,4,ATRASADO,REALIZANDO ROTA,IDA,1
HL337,HL337,17:15,-25.470376,-49.254886,707,1,3,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
HL339,HL339,17:04,-25.543141,-49.305701,707,1,3,6,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JI863,JI863,17:17,-25.459245,-49.302263,779,1,7,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JI301,JI301,17:17,-25.446078,-49.279358,706,1,3,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JC310,JC310,17:17,-25.475275,-49.318375,706,1,3,8,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JC304,JC304,17:14,-25.482028,-49.344513,706,1,3,7,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JC302,JC302,17:12,-25.478366,-49.329935,706,1,3,6,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
JC301,JC301,17:17,-25.436868,-49.273353,706,1,3,9,NO HORÁRIO,REALIZANDO ROTA,IDA,1
JC315,JC315,17:12,-25.483948,-49.350368,706,1,3,4,NO HORÁRIO,COM MENSAGEM NÃO LIDA,VOLTA,1
BI853,BI853,17:17,-25.413225,-49.271263,176,1,7,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EI020,EI020,17:17,-25.465793,-49.250198,475,1,1,1,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
EI001,EI001,17:17,-25.459171,-49.249721,475,1,1,2,NO HORÁRIO,REALIZANDO ROTA,IDA,1
CI005,CI005,17:11,-25.398148,-49.235071,222,1,1,1,NO HORÁRIO,REALIZANDO ROTA,IDA,1
GI045,GI045,17:09,-25.566093,-49.325018,708,1,1,2,NO HORÁRIO,REALIZANDO ROTA,VOLTA,1
